# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
cdfo_806p70_800               cms_exo_19_010                SR1_2017                                                    0.0450733      0.0619514       ||    0.0019467      0.0000818      
cdfo_806p70_800               cms_exo_19_010                SR1_2018A                                                   0.0672295      0.0539069       ||    0.0009673      0.0000577      
cdfo_806p70_800               cms_exo_19_010                SR1_2018B                                                   0.0558225      0.0603101       ||    0.0015076      0.0000720      
cdfo_806p70_800               cms_exo_19_010                SR2_2017                                                    0.0251363      0.0374161       ||    0.0013934      0.0000692      
cdfo_806p70_800               cms_exo_19_010                SR2_2018A                                                   0.0305717      0.0306557       ||    0.0006967      0.0000490      
cdfo_806p70_800               cms_exo_19_010                SR2_2018B                                                   0.0274140      0.0360440       ||    0.0010764      0.0000608      
cdfo_806p70_800               cms_exo_19_010                SR3_2015                                                    0.1728644      0.2669991       ||    0.0001233      0.0000206      
cdfo_806p70_800               cms_exo_19_010                SR3_2016A                                                   0.0854961      0.0851863       ||    0.0003983      0.0000370      
cdfo_806p70_800               cms_exo_19_010                SR3_2016B                                                   0.0337916      0.0337541       ||    0.0013148      0.0000672      
cdfo_806p70_800               cms_exo_19_010                SR3_2017                                                    0.0139923      0.0139066       ||    0.0034653      0.0001090      
cdfo_806p70_800               cms_exo_19_010                SR3_2018A                                                   0.0163146      0.0206512       ||    0.0017407      0.0000773      
cdfo_806p70_800               cms_exo_19_010                SR3_2018B                                                   0.0170877      0.0092377       ||    0.0026815      0.0000959      
cdfo_806p70_800               cms_exo_19_010                SR1_2017_dR                                                 0.0462855      0.0637200       ||    0.0018942      0.0000807      
cdfo_806p70_800               cms_exo_19_010                SR1_2018A_dR                                                0.0690332      0.0557257       ||    0.0009411      0.0000569      
cdfo_806p70_800               cms_exo_19_010                SR1_2018B_dR                                                0.0575592      0.0619669       ||    0.0014626      0.0000709      
cdfo_806p70_800               cms_exo_19_010                SR2_2017_dR                                                 0.0257087      0.0380603       ||    0.0013732      0.0000687      
cdfo_806p70_800               cms_exo_19_010                SR2_2018A_dR                                                0.0310744      0.0311173       ||    0.0006846      0.0000485      
cdfo_806p70_800               cms_exo_19_010                SR2_2018B_dR                                                0.0277609      0.0366506       ||    0.0010614      0.0000604      
cdfo_806p70_800               cms_exo_19_010                SR3_2015_dR                                                 0.1756116      0.2723929       ||    0.0001213      0.0000204      
cdfo_806p70_800               cms_exo_19_010                SR3_2016A_dR                                                0.0864921      0.0872708       ||    0.0003919      0.0000367      
cdfo_806p70_800               cms_exo_19_010                SR3_2016B_dR                                                0.0344470      0.0343539       ||    0.0012937      0.0000667      
cdfo_806p70_800               cms_exo_19_010                SR3_2017_dR                                                 0.0143049      0.0143345       ||    0.0033846      0.0001078      
cdfo_806p70_800               cms_exo_19_010                SR3_2018A_dR                                                0.0165968      0.0211160       ||    0.0017024      0.0000765      
cdfo_806p70_800               cms_exo_19_010                SR3_2018B_dR                                                0.0174504      0.0098978       ||    0.0026140      0.0000947      
cdfo_806p70_800               cms_exo_19_010                [SL]-SR1                                                    0.0185827      0.0250551       ||    
cdfo_806p70_800               cms_exo_19_010                [SL]-SR2                                                    0.0143296      0.0180373       ||    
cdfo_806p70_800               cms_exo_19_010                [SL]-SR3                                                    0.0081348      0.0052350       ||    
cdfo_806p70_800               cms_exo_19_010                [SL]-SR1_dR                                                 0.0191168      0.0257469       ||    
cdfo_806p70_800               cms_exo_19_010                [SL]-SR2_dR                                                 0.0145413      0.0183151       ||    
cdfo_806p70_800               cms_exo_19_010                [SL]-SR3_dR                                                 0.0083212      0.0053616       ||    

